391,O'Fallon,Missouri,"79,329","79,479","79,755","80,519"
392,Hemet,California,"78,657","78,657","79,140","80,467"
393,Cranston,Rhode Island,"80,387","80,387","80,404","80,392"
394,Farmington Hills,Michigan,"79,740","79,740","79,761","80,258"
395,Merced,California,"78,958","78,958","79,257","80,232"
396,Gary,Indiana,"80,294","80,294","80,314","80,221"
397,Mission,Texas,"77,058","77,061","77,588","79,368"
398,Menifee,California,"77,519","77,519","77,998","79,312"
399,Johns Creek,Georgia,"76,728","76,727","77,164","79,192"
400,Edinburg,Texas,"77,100","76,960","77,458","79,147"
401,Fishers town,Indiana,"76,794","76,807","77,338","79,127"
402,Chino,California,"77,983","77,983","78,227","79,059"
403,Racine,Wisconsin,"78,860","78,860","78,898","78,853"
404,Lake Forest,California,"77,264","77,264","77,454","78,439"
405,Bend,Oregon,"76,639","76,639","76,735","77,905"
406,Napa,California,"76,915","76,945","77,150","77,867"
407,Indio,California,"76,036","76,038","76,504","77,780"
408,Redwood City,California,"76,815","76,815","76,936","77,745"
409,Largo,Florida,"77,648","77,649","77,622","77,723"
410,Albany,Georgia,"77,434","77,434","77,595","77,683"
411,New Rochelle,New York,"77,062","77,062","77,156","77,606"
412,Avondale,Arizona,"76,238","76,238","76,392","77,518"
413,Bryan,Texas,"76,201","76,201","76,525","77,321"
414,Camden,New Jersey,"77,344","77,344","77,335","77,283"
415,St. Joseph,Missouri,"76,780","76,803","76,658","77,185"
416,Bellflower,California,"76,616","76,616","76,681","77,170"
417,Bloomington,Illinois,"76,610","76,610","76,735","77,071"
418,Lawrence,Massachusetts,"76,377","76,377","76,514","76,976"
419,Brooklyn Park,Minnesota,"75,781","75,781","75,891","76,853"
420,Meridian,Idaho,"75,092","75,092","75,308","76,750"
421,Tustin,California,"75,540","75,540","75,726","76,689"
422,Somerville,Massachusetts,"75,754","75,754","75,887","76,519"
423,Lynchburg,Virginia,"75,568","75,568","75,716","76,504"
424,Palm Coast,Florida,"75,180","75,176","75,430","76,499"
425,Deerfield Beach,Florida,"75,018","75,018","75,191","76,389"
426,Kennewick,Washington,"73,917","73,917","74,461","76,224"
427,Decatur,Illinois,"76,122","76,122","76,115","76,096"
428,Melbourne,Florida,"76,068","76,068","76,131","76,095"
429,Scranton,Pennsylvania,"76,089","76,089","76,084","75,995"
430,Baldwin Park,California,"75,390","75,390","75,453","75,940"
431,Chino Hills,California,"74,799","74,799","75,053","75,928"
432,Medford,Oregon,"74,907","74,907","74,998","75,501"
433,Arlington Heights village,Illinois,"75,101","75,101","75,178","75,428"
434,Bethlehem,Pennsylvania,"74,982","74,982","75,068","75,266"
435,Mountain View,California,"74,066","74,066","74,262","75,235"
436,Fayetteville,Arkansas,"73,580","73,580","73,921","75,102"
437,Upland,California,"73,732","73,732","73,982","74,837"
438,Evanston,Illinois,"74,486","74,486","74,556","74,785"
439,Alameda,California,"73,812","73,812","73,948","74,774"
440,St. George,Utah,"72,897","72,897","73,107","74,770"
441,Kalamazoo,Michigan,"74,262","74,262","74,352","74,743"
442,Schaumburg village,Illinois,"74,227","74,227","74,305","74,550"
443,Bolingbrook village,Illinois,"73,366","73,366","73,506","73,802"
444,San Ramon,California,"72,148","72,148","72,397","73,333"
445,Baytown,Texas,"71,802","71,802","72,108","73,322"
446,New Britain,Connecticut,"73,206","73,206","73,215","73,261"
447,Appleton,Wisconsin,"72,623","72,623","72,768","73,243"
448,Folsom,California,"72,203","72,203","72,346","73,001"
449,Canton,Ohio,"73,007","73,014","72,978","72,919"
450,Wyoming,Michigan,"72,125","72,125","72,175","72,833"
451,Pharr,Texas,"70,400","70,400","70,883","72,513"
452,Lake Charles,Louisiana,"71,993","71,993","72,177","72,475"
453,Southfield,Michigan,"71,739","71,739","71,758","72,201"
454,Gastonia,North Carolina,"71,741","71,741","71,780","72,068"
455,Plymouth,Minnesota,"70,576","70,576","70,678","71,561"
456,Auburn,Washington,"70,180","70,180","70,376","71,517"
457,Rochester Hills,Michigan,"70,995","70,995","71,013","71,452"
458,Springdale,Arkansas,"69,797","69,792","70,157","71,397"
459,Wilmington,Delaware,"70,851","70,852","70,920","71,305"
460,Pleasanton,California,"70,285","70,285","70,418","71,215"
461,Pawtucket,Rhode Island,"71,148","71,148","71,163","71,153"
462,Waukesha,Wisconsin,"70,718","70,718","70,740","70,867"
